entity_id,uid
8621,536
8621,3318136
8836,816
8836,3321226
8871,816
8871,3321226
8871,3321231
8871,3381811
8876,16
8876,871
8876,1066
8876,3316421
8876,3320636
8876,3322571
8961,3318136
9206,816
9206,3321226
9206,3381811
9326,1056
9346,1601
9386,666
9386,741
9386,3387986
9411,1081
9436,16
9436,26
9436,671
9441,1746
9461,26
9461,1741
9461,2326
9461,3357606
9476,536
9476,3318136
9506,781
9506,1756
9506,3325561
9506,3326261
9511,851
9511,1781
9566,816
9566,3321226
9591,816
9591,2201
9591,3321226
9611,816
9611,3321226
9696,3386296
9796,16
9796,1256
9796,3321211
9826,816
9826,2201
9826,3321226
9831,3321226
9851,816
9851,3321226
9856,816
9856,3321226
9856,3321231
9856,3381811
9931,16
9931,26
9931,671
9936,16
9936,26
9936,671
9971,1821
9971,3323866
10016,3323866
10256,16
10256,3315476
10256,3349956
10296,3323866
10321,861
10321,976
10331,721
10331,3358751
10356,446
10356,806
10371,16
10371,1246
10371,1251
10371,2141
10371,3316421
10371,3317431
10371,3388251
10441,1261
10441,2061
10441,3322001
10441,3323866
10536,16
10536,1066
10536,1251
10536,3320636
10551,16
10551,1336
10551,3323866
10556,16
10556,1251
10556,3316421
10556,3320636
10576,16
10576,576
10576,1066
10576,1246
10576,1251
10576,3316421
10576,3319866
10576,3320636
10576,3357796
10576,3386296
10636,1066
10731,131
10731,1081
10731,3314491
10761,1081
10761,3387691
10811,366
10811,1801
10831,366
10831,1801
10846,366
10846,1801
10901,16
10901,2091
10901,3323866
10941,366
10941,1801
10941,3323706
10971,366
10971,1801
10976,366
10976,1801
10986,366
11016,1251
11016,2116
11016,3317431
11031,16
11031,1251
11031,3317431
11086,1066
11141,16
11141,1251
11141,2116
11141,3317431
11141,3357796
11141,3386296
11171,16
11171,1251
11171,3316421
11306,16
11306,1251
11306,2116
11306,3317431
11306,3388251
11311,871
11311,1066
11316,3386296
11336,3386296
11371,16
11371,1801
11386,16
11386,1231
11386,3386296
11601,16
11601,1246
11601,1251
11601,2141
11601,3319861
11601,3323866
11601,3386296
11601,3388251
11641,3316071
11646,476
11646,1146
11646,3317431
11646,3318121
11651,626
11651,1591
11651,3319601
11651,3322076
11651,3323766
11661,16
11661,26
11661,571
11661,1786
11661,3322041
11661,3324201
11661,3387046
11661,3387696
11681,656
11686,776
11686,1156
11686,1591
11686,3319601
11691,16
11691,26
11691,366
11691,416
11691,691
11691,821
11691,3316421
11691,3321606
11691,3366391
11721,711
